text,label
"Crusador E-Alert For February 9, 2008 
Our Latest Articles: Americans Deluded In A Pharmaceutical Gulag of Fantasy      Date Added: February 9, 2008
Read Full article or copy and paste in web browser: http://healthtruthrevealed.com/full-page.php?id=1420413602&&page=articleThe Failure of Cardiovascular Medication      Date Added: February 9, 2008
Read Full article or copy and paste in web browser: http://healthtruthrevealed.com/full-page.php?id=0856283902&&page=articlePuberty At The Age Of 8      Date Added: February 9, 2008
Read Full article or copy and paste in web browser: http://healthtruthrevealed.com/full-page.php?id=0917553902&&page=articleStudy Warns Chemical In Baby Shampoo May Cause Harm      Date Added: February 9, 2008
Read Full article or copy and paste in web browser: http://healthtruthrevealed.com/full-page.php?id=0922593902&&page=articleWould Colon Cleansing Help Prevent Colon Cancer?      Date Added: February 9, 2008
Read Full article or copy and paste in web browser: http://healthtruthrevealed.com/full-page.php?id=0930123902&&page=articleNutrition: Magnesium The Magic Mineral      Date Added: February 9, 2008
Read Full article or copy and paste in web browser: http://healthtruthrevealed.com/full-page.php?id=0938163902&&page=article
http://healthtruthrevealed.com | http://healthtruthrevealed.com/unsubscribe.php - to unsubscribe",0
"Perfect Rx Discounts

http://anythingwanted.spaces.live.com/default.aspx

between Decorator, Facade
real OO design principles

Silvia D., New York",1
"This message is a MIME encoded email and it includes the same text in
two alternative formats.

--NextPart_1F44-012A-0075-3ECA-22DD-0961-
Content-type: text/plain
Content-Transfer-Encoding: quoted-printable

My Dear,

I got your  contact address through 
internet browsing in my search for a reliable and
trustworthy person who will assist me in a business investment
venture in your country I am MRS. CEDIA D. ASTRADA
the wife of MR.JOSEPH ASTRADA the former president of
Philliphine located in the Southeast Asia.
My husband was recently impeached from office by
a backed uprising of mass demostration and the senate parliament.
The present government has enforced my husband out of office
for Manila to avoid demonstration by his supporters.
During my husband regime as president of Phillipine I realised millions
of dollars from various projects I executed successfully I had plans
to > invest this money for future on real estate and industrial producti=
on.
My husband is not aware of this because I wish to do it secretly 
now. Before my husband was impeached from office
I  secretly deposited this money valued at about $30 millon us dollar
with a security that deals with transhipment of value googs through a
diplomatic courier services to the adhoc offices. The consignment or
boxes I declared owned by my foreign business partner.
 I wish to give you 20% out of the total sum if
 You will be willing to assist me claim money and invest
 the money as I assumed you 100% risk free business
 transaction I am trusting you as a God fearing
 person that will not sit on my fund when it get into
 your account but rather assist me in this business
 venture.
 
 This business demands absolute secrecy and confidentiality as such it's
my considered opinion that all correspondence shall be via email because
my lines are connected to the philliphine telecommunication network serv=
ices.

 I will furnish you with more details (documents) 
 when I receive your positive response wishing you a long lasting busine=
ss
relationship.
 
 Thanks.
 
 MRS LUISA ASTRADA

PLS SEND YOUR RESPONSE TO MY PRIVATE EMAIL:luisa_2003@myself.com
___________________________________________________________
Kukamail.com - Free Email for the World!
Open your account here: http://www.kukamail.com

___________________________________________________________
SPONSOR MESSAGE: 
Get Email @YOURFAMILY, @YOURBUSINESS, or @YOURDOMAIN
Visit: http://www.entergroup.com today!



--NextPart_1F44-012A-0075-3ECA-22DD-0961-
Content-type: text/html
Content-Transfer-Encoding: quoted-printable

<html>
<body>
My Dear, <BR>
 <BR>
I got your  contact address through  <BR>
internet browsing in my search for a reliable and <BR>
trustworthy person who will assist me in a business investment <BR>
venture in your country I am MRS. CEDIA D. ASTRADA <BR>
the wife of MR.JOSEPH ASTRADA the former president of <BR>
Philliphine located in the Southeast Asia. <BR>
My husband was recently impeached from office by <BR>
a backed uprising of mass demostration and the senate parliament. <BR>
The present government has enforced my husband out of office <BR>
for Manila to avoid demonstration by his supporters. <BR>
During my husband regime as president of Phillipine I realised millions =
<BR>
of dollars from various projects I executed successfully I had plans <BR>
to &gt; invest this money for future on real estate and industrial produ=
ction. <BR>
My husband is not aware of this because I wish to do it secretly  <BR>
now. Before my husband was impeached from office <BR>
I  secretly deposited this money valued at about $30 millon us dollar <B=
R>
with a security that deals with transhipment of value googs through a <B=
R>
diplomatic courier services to the adhoc offices. The consignment or <BR>
boxes I declared owned by my foreign business partner. <BR>
 I wish to give you 20% out of the total sum if <BR>
 You will be willing to assist me claim money and invest <BR>
 the money as I assumed you 100% risk free business <BR>
 transaction I am trusting you as a God fearing <BR>
 person that will not sit on my fund when it get into <BR>
 your account but rather assist me in this business <BR>
 venture. <BR>
  <BR>
 This business demands absolute secrecy and confidentiality as such it's=
 <BR>
my considered opinion that all correspondence shall be via email because=
 <BR>
my lines are connected to the philliphine telecommunication network serv=
ices. <BR>
 <BR>
 I will furnish you with more details (documents)  <BR>
 when I receive your positive response wishing you a long lasting busine=
ss <BR>
relationship. <BR>
  <BR>
 Thanks. <BR>
  <BR>
 MRS LUISA ASTRADA <BR>
 <BR>
PLS SEND YOUR RESPONSE TO MY PRIVATE <A target=3D""_blank"" href=3D""mailto=
:EMAIL:luisa_2003@myself.com"">EMAIL:luisa_2003@myself.com</A><BR>
___________________________________________________________<BR>
Kukamail.com - Free Email for the World!<BR>
Open your account here: <A target=3D""_blank"" href=3D""http://www.kukamail=
.com"">http://www.kukamail.com</A><BR>
<BR>
___________________________________________________________<BR>
SPONSOR MESSAGE: <BR>
Get Email @YOURFAMILY, @YOURBUSINESS, or @YOURDOMAIN<BR>
Visit: <A target=3D""_blank"" href=3D""http://www.entergroup.com"">http://ww=
w.entergroup.com</A> today!<BR>
<BR>
</body>
</html>

--NextPart_1F44-012A-0075-3ECA-22DD-0961---",1
"Come and get your MASSIVE $2400 BONUS NOW!


How about some extra cash? Watch your complimentary $2400 bonus increase tenfold when you play the best casino games around. The web's best kept secret is out! We want YOU WINNING. So we give you the money you need to win. Download ---


Play  our COLLOSAL progressive slotsour amazing  ""mid life crisis""  Jackpot is now a MASSIVE $859.536.00..It must payout soon!!!!!!!!!!!GOOD LUCK!!!!

 http://casinojackpotsdeals.com /",1
"From Mr. A. B. Solarino

Treat With Utmost Confidentiality
Dear Friend,

I apologized using this medium to reach you for a deal like this, since you =
do
not know me before. This is due to Confidentiality. I got your contact detai=
ls
through my private search on the Internet. After going through your details,=
 I
decided to contact you believing that we can both work in hands to =20
achieve this
goal.

As stated above, I am Mr. Alexandro Benjamino Solarino the Chief auditor
Department of Mineral Resources FALKLAND ISLAND SOUTH ATLANTIC. I will be
grateful to have you as my foreign partner to enable us carry out a deal of
Eight million two hundred thousand Great Britain Pounds (=A38,200,000.00).

I know you will be very astonished on how I got this money and why I =20
choose you
to carry out this deal with you or how we will be able to carry out this dea=
l
as it involve a lot of money. Well since I need a partner outside my country
and outside the UK that will receive the transfer of these funds from here, =
I
have to look for someone abroad for security reasons. Since I do not have an=
y
body overseas then I decided to search on the internet and since you are the
first person I am contacting in this regards I sincerely hope that you =20
will not
turn me down. I have already made all arrangement to successfully execute th=
is
deal without any problem on your side and mine. Also the transfer of the fun=
ds
will be made through Telegraphic Bank to bank transfer so you have nothing t=
o
worry about as all documentation will be made legal. All I need from you is
your total support, trust, honesty and confidentiality.

Once the transfer of the funds is successfully made to your account abroad
after your government has taken their taxes from the total amount, 40% of th=
e
remaining amount will be for you while 60% will be for me.

I will give you more breakdown as soon as soon as I hear from you. =20
Feel free to
reach me on +44 702 409 5966

Yours Faithfully,
Mr. A B Solarino


----------------------------------------------------------------
This message was sent using IMP, the Internet Messaging Program.",1
"DATE:20/11/02
FROM:MARTIN CHIME
PRIVATE Tel: 234-1-7756809
Fax: 234-1-7599173
E-MAIL:martinchime@borad.com
ATTN: MD/CEO

AN URGENT BUSINESS PROPOSAL 

I am pleased to get across to you for a very urgent and profitable Business proposal, though I don't know you neither have I seen you before but my confidence was reposed on you when the Chief Executive of Lagos State chamber of Commerce and Industry handed me your contact for a confidential business. I am a Staff of United Bank
for Africa (UBA),Ilupeju branch, Lagos Nigeria.

The intended business is thus; we had a customer, a Foreigner (a Turkish) resident in Nigeria, he was a Contractor with one of the Government Parastatals. He has in his Account in my branch the sum of US$21.5 Million (Twenty One Million Five Hundred ThousandU.S.Dollars).Unfortunately, the man died four years ago until today non-of his next of kin has come forward to claim the money. Having noticed this, I in collaboration with two other top Officials of the bank we have covered up the account all this while. Now we want you (being a foreigner) to be fronted as one of his next of kin and forward your account and other relevant documents to be advised to you by us to attest to the Claim. We will use our positions to get all internal documentations to back up the claims .The whole procedures will last only ten working days to get the Fund retrieved successfully Without trace even in future.

Your response is only what we are waiting for as we have arranged all necessary things. As soon as this message comes to you kindly get back to me indicating your interest ,Then I will furnish you with the whole procedures to ensure that the deal is successfully Concluded. 

For your assistance we have agreed to give you thirty percent (30%) of the Total sum at the end of the transaction. It is risk free and a mega fortune. All correspondence towards this transaction will be through the e-mail addresses, Telephone and Fax, until the end of the
transaction when we will meet for the sharing of the money based on this agreed percentage.

Please reply urgently by e-mail, fax or call me on my private telephone numbers as stated above.

I await your earliest response.

Thanks, 

Yours Sincerely

MARTIN CHIME",1
"------=_Part_8089_23010368.1074514548482
Content-Type: text/plain; charset=iso-8859-1
Content-Transfer-Encoding: quoted-printable

Attn:The President/CEO
           I crave your indulgence as I contact you in such a surprising ma=
nner. But I respectfully insist you read this letter carefully as I am opti=
mistic it will open doors for unimaginable financial reward for both of us.=
=20
This business transaction might not fall within the wide spectrum of your b=
usiness activities, but I plead your assistance, as your flair for profitab=
le business is needed.
Permit me to introduce myself,I am Dr Blessed Ogbe the Banking officer to E=
ngr.Johnson Creek  who was a major contractor to oil companies,.On the 21st=
 of April 2000,my lient, his wife and their three children were involved in=
 a car accident along Sagamu / Lagos Express Road. Unfortunately they All l=
ost their lives in the event of the accident.
Since then I have made several enquiries to your Embassy to locate any of m=
y clients extended relatives, this has also proved unsuccessful. After thes=
e several unsuccessful attempts, I decided to trace his relatives over the =
Internet to locate any member of his family but of no avail, hence I contac=
ted you.I contacted you to assist in repartrating the money and property le=
ft behind by my client before they get confiscated or declared unserviceabl=
e by the bank where this huge deposits were lodged. Particularly,the Bank w=
here the deceased had an account valued at about US$15.2M (Fifteen  Million=
 Two Hundred Thousand United Stated Dollars).=20
=20
Conseqently, the bank issued me a notice to provide the next of kin or have=
 the account confiscated. Since I have been unsuccesfull in locating the th=
e relatives for over 2 years now. I seek your consent to present you as the=
 next of kin of the deceased since you are from the same country so that th=
e proceeds of this account valued at US$15.2million can be paid to you and =
then you and me can share the money. 60% to me and 40%
to you.
=20
I have all necessary legal documents that can be used to back up any claim =
we may make. All I require is your honest co-operation to enable us see thi=
s deal through. I guarantee that this will be executed under a legitimate a=
rrangement that will protect you from any breach of the law.=20
=20
Kindly email your  following confidential information to me urgently to ena=
ble us proceed:
=20
a.Your complete names
b.Your private telephone number
c.Your private fax number
d.Your private email address
=20
Please direct your reply to my confidential email:blog333ng@mail.az or thro=
ugh the below fax.You can also reach me through my private telephone number=
  stated below for any enquiries.
=20
Upon the receipt of your information,I will advise you on the modalities of=
 the transaction.We have concluded details on how to achieve success.
=20
Yours Faithfully,=20
=20
Dr.Blessed Ogbe
Position: Operation Director,
Pacific International Bank Plc,
40,Marina Rd,Lagos,Nigeria.
Tel: 234-803-302-5573
Fax:234-9-272-2046
Freeserve AnyTime - HALF PRICE for the first 3 months - Save =A37.50 a mont=
h=20
www.freeserve.com/anytime
------=_Part_8089_23010368.1074514548482
Content-Type: text/html
Content-Transfer-Encoding: quoted-printable

<P>Attn:The President/CEO</P>
<P>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; I crave you=
r indulgence as I contact you in such a surprising manner. But I respectful=
ly insist you read this letter carefully as I am optimistic it will open do=
ors for unimaginable financial reward for both of us. </P>
<P>This business transaction might not fall within the wide spectrum of you=
r business activities, but I plead your assistance, as your flair for profi=
table business is needed.<BR>Permit me to introduce myself,I am Dr Blessed =
Ogbe the Banking officer to Engr.Johnson Creek&nbsp; who was a major contra=
ctor to oil companies,.On the 21st of April 2000,my lient, his wife and the=
ir three children were involved in a car accident along Sagamu / Lagos Expr=
ess Road. Unfortunately they All lost their lives in the event of the accid=
ent.</P>
<P>Since then I have made several enquiries to your Embassy to locate any o=
f my clients extended relatives, this has also proved unsuccessful. After t=
hese several unsuccessful attempts, I decided to trace his relatives over t=
he Internet to locate any member of his family but of no avail, hence I con=
tacted you.I contacted you to assist in repartrating the money and property=
 left behind by my client before they get confiscated or declared unservice=
able by the bank where this huge deposits were lodged. Particularly,the Ban=
k where the deceased had an account valued at about US$15.2M (Fifteen&nbsp;=
 Million Two Hundred Thousand United Stated Dollars). <BR>&nbsp;<BR>Conseqe=
ntly, the bank issued me a notice to provide the next of kin or have the ac=
count confiscated. Since I have been unsuccesfull in locating the the relat=
ives for over 2 years now. I seek your consent to present you as the next o=
f kin of the deceased since you are from the same country so that the proce=
eds of this account valued at US$15.2million can be paid to you and then yo=
u and me can share the money. 60% to me and 40%<BR>to you.<BR>&nbsp;<BR>I h=
ave all necessary legal documents that can be used to back up any claim we =
may make. All I require is your honest co-operation to enable us see this d=
eal through. I guarantee that this will be executed under a legitimate arra=
ngement that will protect you from any breach of the law. <BR>&nbsp;<BR>Kin=
dly email your&nbsp; following confidential information to me urgently to e=
nable us proceed:<BR>&nbsp;<BR>a.Your complete names<BR>b.Your private tele=
phone number<BR>c.Your private fax number<BR>d.Your private email address<B=
R>&nbsp;<BR>Please direct your reply to my confidential email:blog333ng@mai=
l.az or through the below fax.You can also reach me through my private tele=
phone number&nbsp; stated below for any enquiries.<BR>&nbsp;<BR>Upon the re=
ceipt of your information,I will advise you on the modalities of the transa=
ction.We have concluded details on how to achieve success.<BR>&nbsp;<BR>You=
rs Faithfully, <BR>&nbsp;<BR>Dr.Blessed Ogbe<BR>Position: Operation Directo=
r,<BR>Pacific International Bank Plc,<BR>40,Marina Rd,Lagos,Nigeria.<BR>Tel=
: 234-803-302-5573<BR>Fax:234-9-272-2046<BR></P><BR> <span style=3D'color:#=
000000;font-family:arial; font-size:10pt;'>Freeserve AnyTime - HALF PRICE f=
or the first 3 months - Save =A37.50 a month <br><a href=3D'http://www.free=
serve.com/anytime' style=3D'color:#0000FF; font-family:arial; font-size:10p=
t;' TARGET=3D'_blank'>www.freeserve.com/anytime</a></span>
------=_Part_8089_23010368.1074514548482--",1
"--0-1004169555-1074589833=:50209
Content-Type: text/plain; charset=iso-8859-1
Content-Transfer-Encoding: 8bit


PETROLEUM(SPECIAL) 
TRUST FUND 
LAGOS-NIGERIA 
CONFIDENTIAL. 

tony_obaa@yahoo.co.uk

REQUEST FOR URGENT BUSINESS PROPOSAL. 

>From the Desk of:DR.IKE OBA. 
Dear Sir, 
This letter may come to you as a surprise since it is 
coming from someone you have not met before. However, 
we decided to contact you based on a 
satisfactory information we had about you. 
I am a Medical Doctor currently working with the 
Petroleum Trust Fund (PTF). I and some of my close and 
trusted colleagues need your assistance in the 
transfer of US$21.8 million into any reliable 
Accountyou may nominate overseas. 
This fund was generated from over-invoicing of 
contracts executed by the PTF under our control and 
supervision. This fund is now ready to be remitted 
into any Account we put forward for that purpose. What 
we want from you is a good and reliable company or 
personal Account into which we shall transfer this 
fund. Details should include the following: 
1. Name of Company, Address  & Your Private Telephone 
& Fax Number. 
2. Name of Bank & Address of Bank .3. Account Number4. 
Beneficiary Name 
Upon receipt of your company  & bank particulars, an 
application shall be made in your name to the Central 
Bank of Nigeria for the approval of the remittance of 
the funds which shall be by SWIFT (Telegraphic 
transfer) copies of the approval and other relevant 
documents shall be faxed to you for your 
perusal.please treat as strictly confidential for 
obvious reasons. The fund will be shared as follows:1. 
30% for your assistance 
2. 60% for myself & my Colleagues3. 10% for 
contingency expenses 
We wish to assure you that your involvement should you 
decide to assist us, will be well protected, and also, 
this business, proposal is 100% risk free as the 
remittance will be made through the legal procedures. 
Note: your discussions regarding this transaction 
should be limited because we are still in government 
service. We intend to retire peacefully at the end of 
this transaction. Let honesty and trust be our 
watchword throughout this transaction and your prompt 
reply will be highly appreciated. 
Thank you for your anticipated cooperation while we 
look forward to a mutually 
benefiting business  relationship with you.

 tony_obaa@yahoo.co.uk

Best Regards. 

DR. IKE OBA. 





---------------------------------
  Yahoo! Messenger - Communicate instantly...""Ping"" your friends today! Download Messenger Now
--0-1004169555-1074589833=:50209
Content-Type: text/html; charset=iso-8859-1
Content-Transfer-Encoding: 8bit

<DIV>
<DIV>
<DIV>
<P><FONT face=""Arial Black"">PETROLEUM(SPECIAL) <BR>TRUST FUND <BR>LAGOS-NIGERIA <BR>CONFIDENTIAL. </FONT></P>
<P><FONT face=""Arial Black""><A href=""mailto:tony_obaa@yahoo.co.uk"">tony_obaa@yahoo.co.uk</A></FONT></P>
<P><FONT face=""Arial Black"">REQUEST FOR URGENT BUSINESS PROPOSAL. </FONT></P>
<P><FONT face=""Arial Black"">From the Desk of:DR.IKE OBA. <BR>Dear Sir, <BR>This letter may come to you as a surprise since it is <BR>coming from someone you have not met before. However, <BR>we decided to contact you based on a <BR>satisfactory information we had about you. <BR>I am a Medical Doctor currently working with the <BR>Petroleum Trust Fund (PTF). I and some of my close and <BR>trusted colleagues need your assistance in the <BR>transfer of US$21.8 million into any reliable <BR>Accountyou may nominate overseas. <BR>This fund was generated from over-invoicing of <BR>contracts executed by the PTF under our control and <BR>supervision. This fund is now ready to be remitted <BR>into any Account we put forward for that purpose. What <BR>we want from you is a good and reliable company or <BR>personal Account into which we shall transfer this <BR>fund. Details should include the following: <BR>1. Name of Company, Address&nbsp; &amp; Your Private Telephone <BR>&amp; Fax Num!
 ber.
 <BR>2. Name of Bank &amp; Address of Bank .3. Account Number4. <BR>Beneficiary Name <BR>Upon receipt of your company&nbsp; &amp; bank particulars, an <BR>application shall be made in your name to the Central <BR>Bank of Nigeria for the approval of the remittance of <BR>the funds which shall be by SWIFT (Telegraphic <BR>transfer) copies of the approval and other relevant <BR>documents shall be faxed to you for your <BR>perusal.please treat as strictly confidential for <BR>obvious reasons. The fund will be shared as follows:1. <BR>30% for your assistance <BR>2. 60% for myself &amp; my Colleagues3. 10% for <BR>contingency expenses <BR>We wish to assure you that your involvement should you <BR>decide to assist us, will be well protected, and also, <BR>this business, proposal is 100% risk free as the <BR>remittance will be made through the legal procedures. <BR>Note: your discussions regarding this transaction <BR>should be limited because we are still in government <BR>service.!
  We
 intend to retire peacefully at the end of <BR>this transaction. Let honesty and trust be our <BR>watchword throughout this transaction and your prompt <BR>reply will be highly appreciated. <BR>Thank you for your anticipated cooperation while we <BR>look forward to a mutually <BR>benefiting business&nbsp; relationship with you.</FONT></P>
<P><FONT face=""Arial Black"">&nbsp;<FONT face=""Arial Black""><A href=""mailto:tony_obaa@yahoo.co.uk"">tony_obaa@yahoo.co.uk</A></FONT></FONT></P>
<P><FONT face=""Arial Black"">Best Regards. </FONT></P>
<P><FONT face=""Arial Black"">DR.&nbsp;IKE OBA. </FONT></P></DIV></DIV></DIV><p><hr size=1><font face=""Arial"" size=""2""> <a href=""http://uk.rd.yahoo.com/mail/tagline_messenger/*http://uk.messenger.yahoo.com""><b> 
Yahoo! Messenger</b></a> - Communicate instantly...""Ping"" your friends 
today! <a href=""http://uk.rd.yahoo.com/mail/tagline_messenger/*http://uk.messenger.yahoo.com/download/index.html""><strong>Download Messenger Now</strong></a></font>
--0-1004169555-1074589833=:50209--",1
"Head of computing Department
Dr. David Smith=20
+4470249520
drdavidsmith@myway.com
31A Caledonian Rd, King's Cross,London,N1 9DX U.
K.=20

Greeting Dear,

My names are Dr. David Smith, I am Staff and Head=20
of computing Department of a bank here in United Kingdom. There is an=20
account opened in this bank since my Inception into office in 2004,=20
nobody has operated on this account.I have the courage to look  for a=20
reliable and honest person Who will be capable to handle this=20
transaction with me.

Again this =C2=A313,000,000.00 (Thirteen Million=20
Pounds sterling) have to be transfer urgently before it will be=20
forfeited for nothing in this bank. After we have succeeded in this=20
transaction,you stand to get 45% of the total sum while 5% will be for=20
expenses that will be en cured during the process of this transfer and=20
the remaining 50% will be for me. Here is my private email:=20
drdavidsmith@myway.com so reply this email. I will fill you in with=20
further details upon your reply, God bless you.

Thanks

Sincerely,
Dr.
David Smith",1
"PLEASE NOTE: USE ONLY abachafamily42000@yahoo.com 
FOR SECURITY REASONS.

DR. MRS. MARIAM ABACHA ABACHA
C/O. MUSA ABACHA
KANO-NIGERIA

BUSINESS PROPOSAL.

Dear Sir/Madam,

RE: US$50 MILLION / INVESTMENT ADVICE

I am the wife to Ex-Nigerian(president)Head of State Late Gen. Sanni Abac=
ha
who died on the 8th of June 1998. Sometime in 1998 before his death, he
entrusted to me the sum of US$50 (Fifty Million United States Dollars) wh=
ich
we deposited with an organization which I will disclose to you later .Thi=
s
money was meant for the campaign of his self-succession bid. Unfortunatel=
y
he died before actualization of his aspiration.

This amount of $50M entrusted to me by my late husband due to the trust
and confidence he had on for me as his wife.In agreement with the Abachas=

family, I write to solicit your assistance to transfer this sum of $50M
to you for subsequent disbursement between you and us. We are soliciting
for your assistance because the present Nigerian Government are freezing
any bank account traceable to the Late Ex-Head of State's family and rela=
tives.

For your assistance, we have agreed to compensate you with 20% of the tot=
al
sum while 80% is for us.The major part of our share of 80% shall be used
for investment overseas.

Note that this transaction is 100% risk free as we have mapped out strate=
gies
for a successful transaction with the organization, which I will disclose=

to you later.Please Endeavor to keep this transaction absolutely secret.
This transaction is expected to be concluded within 10 working days If yo=
u
are interested.

I would want you to contact me immediately through my private and most co=
nfidential
email address(abachafamily42000@yahoo.com 
) this is my confidential email address.so i will need your name,tel,fax,=
first
three pages of international
pasport and address so that i can know whom am dealing with.

Thank you for your anticipated kind understanding and urgent positive res=
ponse.i
wiil email to you the pictures of the money once i get your reply,please
help us.

Best Regards,
DR. MRS. MARIAM ABACHA ABACHA

Private Email:abachafamily42000@yahoo.com=20",1
